Formula,Num_Variables
arcsin(x_1*sin(x_2)),2
x_1*x_2**-1/1,2
x_1*x_2,2
x_1/x_2,2
x_1*x_2,2
-5/1*x_1*x_2,2
x_1/x_2,2
0+x_1*x_2/(-2-(x_1*x_2/3)),2
x_1/(5*(0+x_2)),2
x_1/x_2,2
exp(-x_1**-5/-4)/sqrt(3*x_2),2
arcsin(x_1*sin(x_2)),2
x_1*x_2**5/-4,2
x_1/(-3*(-5+x_2)),2
x_1/(-1*(3+x_2)),2
arcsin(x_1*sin(x_2)),2
5/-2*x_1*x_2**-3,2
x_1*x_2**0,2
x_1*x_2,2
arcsin(x_1*sin(x_2)),2
x_1/(0*(4+x_2)),2
-1/5*x_1*x_2,2
x_1/x_2,2
5/3*x_1*x_2,2
x_1/x_2,2
exp(-x_1**-1/0)/sqrt(-2*x_2),2
-4/5*x_1*x_2**-2,2
-5/3*x_1*x_2**-1,2
x_1*x_2**-4,2
3/5*x_1*x_2**-1,2
exp(-x_1**4/-3)/sqrt(-2*x_2),2
-4+x_1*x_2/(-1-(x_1*x_2/-3)),2
0/2*x_1*x_2,2
arcsin(x_1*sin(x_2)),2
arcsin(x_1*sin(x_2)),2
-1/0*x_1*x_2,2
3/-4*x_1*x_2,2
x_1*x_2**-2/-1,2
x_1*x_2**3/-1,2
exp(-x_1**-1/1)/sqrt(-1*x_2),2
x_1*x_2**0/0,2
x_1*x_2**2,2
x_1*x_2**4/-5,2
exp(-x_1**-5/1)/sqrt(-2*x_2),2
-5/4*x_1*x_2**1,2
x_1*x_2,2
arcsin(x_1*sin(x_2)),2
x_1/(-3*(5+x_2)),2
x_1*x_2,2
x_1*x_2,2
2/1*x_1*x_2,2
arcsin(x_1*sin(x_2)),2
x_1*x_2**5/5,2
-2/3*x_1*x_2**0,2
x_1/x_2,2
x_1*x_2,2
0+x_1*x_2/(-5-(x_1*x_2/1)),2
1/0*x_1*x_2**2,2
arcsin(x_1*sin(x_2)),2
arcsin(x_1*sin(x_2)),2
3+x_1*x_2/(4-(x_1*x_2/2)),2
-1/2*x_1*x_2**-1,2
arcsin(x_1*sin(x_2)),2
x_1*x_2**-3,2
x_1/(4*(-2+x_2)),2
x_1/(0*(0+x_2)),2
arcsin(x_1*sin(x_2)),2
-4+x_1*x_2/(3-(x_1*x_2/-4)),2
x_1*x_2,2
